,CDS Code,County,District Name,Locale Classifications,District Type,2023-24 Student Enrollment,2023-24 % Unduplicated,BP: 3511.1 Integrated Waste Management,BP 3511.1 Year Adopted,BP 3511.1 Year of Policy Update if applicable,BP 3511.1 Link to Policy,AR: 3511.1 Integrated Waste Management Regulation,AR 3511.1 Year Adopted,AR 3511.1 Year of Policy Update if applicable,AR 3511.1 Link to Policy,School Board Policy Commitments Score (out of 3),Building Electrification,Energy Efficiency,On-Site Renewables,HVAC: AC,Indoor Air Quality,Energy Resilience,Fleet Electrification,EV Chargers for Parking,Water Conservation,Zero Waste Initiative,Schoolyard Forest,School Gardens,District-Wide Curriculum Environmental or Climate Literacy Indicators (up to 3),Overall District Action and Literacy Initiative Indicators (up to 10),Staff Capacity Indicators (up to 4),W/O Policy Environmental and Climate Action Score (17 points),"Plans, Communication, and Awards Indicators (up to 3)",District-Wide Campus Sustainability Indicators (up to 3),District-Wide Environmental Community and Culture Indicators (up to 3),Environmental and Climate Action Score (20 points),BP3511.1: Path to PDF,BP3511.1: PDF Text,AR3511.1: Path to PDF,AR3511.1: PDF Text
0,1611190000000,Alameda,Alameda Unified,Suburban,Unified School District,10557,41,1,2012,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=gKZDTKAMbrpujkslshEpEIvMg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2009,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030670&revid=sHIicWVsY01XTCvckW4LOA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,1.0,0.0,1,1,0,1,2.0,7.5,1,11.0,2.5,3.0,1.5,14.0,Alameda_Unified_BP3511_1.pdf,policy 35111 integrated waste management status adopted original adopted date 11272012 last revised date 10112022 last reviewed date 10112022 governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary board policy manual alameda unified school district,,
1,1611270000000,Alameda,Albany City Unified,Suburban,Unified School District,3574,37,1,2013,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030672&revid=cslshcfplusUuplusKb9CYJ7wLfslhg==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,0.0,,,,3.0,0,1,1,1.0,1.0,1,0.0,0.0,1,1,0,1,1.5,7.0,3,11.5,1.5,3.0,2.0,15.0,Albany_City_Unified_BP3511_1.pdf,policy 35111 integrated waste management status adopted original adopted date 05282013 last revised date 06182024 last reviewed date 06182024 governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary board policy manual albany unified school district,,
2,1611500000000,Alameda,Castro Valley Unified,Suburban,Unified School District,9489,43,1,2011,2022,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=CCQQDQ684933,1.0,2011,2022,https://go.boarddocs.com/ca/castrovalley/Board.nsf/goto?open&id=CCQQDS68589B,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,6.5,0,7.5,1.0,3.0,1.5,10.5,Castro_Valley_Unified_BP3511_1.pdf,book board policy section 3000 business noninstructional operation title integrated waste management code 35111 status active adopted march 24 2011 last revised march 9 2022 integrated waste management governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation cf 0100 philosophy cf 3510 green school operation cf 3511 energy water management cf 3514 environmental safety cf 35142 integrated pest management district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice cf 3300 expenditure purchase cf 3517 facility inspection superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program cf 1400 relation governmental agency school cf 7131 relation local agency superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort cf 4131 staff development cf 4231 staff development cf 4331 staff development cf 61425 environmental education cf 614293 science instruction superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary,,
3,1611680000000,Alameda,Emery Unified,Suburban,Unified School District,600,81,1,2004,2004,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030774&revid=HS1FgthT0pJqjrgdeqEiaA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2004,2018,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030774&revid=OHjMslshKmQ64Fj3zWD9i6DeQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,0,0,1,1.0,1.0,0,0.0,0.0,1,1,0,0,0.0,3.0,0,3.0,0.0,2.5,0.5,6.0,Emery_Unified_BP3511_1.pdf,policy 35111 integrated waste management status adopted original adopted date 11012004 last reviewed date 11012004 board education belief conservation water energy natural resource well protection environment essential health wellbeing community superintendent designee shall develop integrated waste management program reduce waste conserve natural resource protect environment program shall include specific strategy designed help district reduce waste generation improve efficiency using natural resource area operation superintendent designee may collaborate city county state agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreducing incentive superintendent designee shall provide appropriate training opportunity student staff regarding benefit method conserving natural resource protecting environment board policy manual emery unified school district,,
4,1611760000000,Alameda,Fremont Unified,Suburban,Unified School District,33063,33,0,,,,1.0,1986,1986,*District Validated,3.0,1,1,1,1.0,1.0,1,1.0,1.0,1,1,0,1,2.0,7.5,2,11.0,1.5,3.0,2.5,14.0,,nan,,
5,1611920000000,Alameda,Hayward Unified,Suburban,Unified School District,20190,82,1,1995,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=lfPURbH3mAocddXzjotJBA==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,1995,2013,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030212&revid=4ML083qfWYBzFdeD26wRRQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,0,1,1.0,1.0,1,0.0,1.0,1,0,0,0,1.5,5.0,0,5.5,0.5,3.0,0.5,8.5,Hayward_Unified_BP3511_1.pdf,policy 35111 integrated waste management status adopted original adopted date 05011995 last revised date 01302013 last reviewed date 01302013 governing board belief conservation natural resource protection environment connected district educational mission essential health wellbeing community superintendent designee shall develop andor implement costeffective integrated waste management program incorporates principle green school operation district program shall include strategy designed help district reduce solid hazardous waste generation improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive extent funding permit superintendent designee shall provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource protecting environment superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary board policy manual hayward unified school district,,
6,1612420000000,Alameda,New Haven Unified,Suburban,Unified School District,10045,61,1,2019,2021,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,1.0,2019,2021,https://go.boarddocs.com/ca/nhusd/Board.nsf/Public?open&id=policies#,3.0,0,1,1,1.0,1.0,0,0.0,0.0,1,0,0,0,1.0,4.5,0,5.0,0.5,2.5,1.0,8.0,New_Haven_Unified_BP3511_1.pdf,book board policy section 3000 business title integrated waste management code 35111 status active adopted april 30 2019 last revised november 9 2021 integrated waste management governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary policy reference disclaimer reference intended part policy indicate basis authority board enact policy instead provided additional resource interested subject matter policy state description 14 ccr 1722512 commercial solid waste ed code 1707096 leroy f greene school facility act 1996 consideration high performance standard ed code 1707235 new construction grant use design material high performance school ed code 3237032376 recycling paper ed code 33541 science requirement ed code 87008707 environmental education pub re code 41780 waste diversion pub re code 2541025421 energy conservation assistance pub re code 4005040063 integrated waste management act pub re code 4262042622 source reduction recycling program pub re code 4263042647 schoolsite source reduction recycling assistance program pub re code 42649426497 recycling commercial solid waste management resource description website california department resource recycling recovery website california division state architect website california environmental protection agency website california energy commission website u environmental protection agency website csba cross reference code description 0100 philosophy 1400 relation governmental agency school 3000 concept role 3270 sale disposal book equipment supply 3312 contract 3510 green school operation 3511 energy water management 3514 environmental safety 35142 integrated pest management 3517 facility inspection 4131 staff development 4331 staff development 61425 environmental education 614293 science instruction 7110 facility master plan 7131 relation local agency first reading april 16 2019 october 26 2021 policy review committee second reading april 30 2019 november 9 2021 ar 35111 112021pdf 174 kb,,
7,1612590000000,Alameda,Oakland Unified,Urban,Unified School District,45040,82,1,2004,2004,https://boepublic.ousd.org/Policies.aspx,1.0,2004,2004,https://boepublic.ousd.org/Policies.aspx,3.0,1,1,1,1.0,1.0,0,1.0,1.0,1,0,1,1,2.0,6.0,0,7.0,1.0,3.0,1.0,10.0,Oakland_Unified_BP3511_1.pdf,oakland unified school district board policy bp 35111 business noninstructional operation integrated waste management governing board belief conservation water energy natural resource well protection environment essential health wellbeing community superintendent designee shall develop integrated waste management program reduce waste conserve natural resource protect environment cf 3511 energy water conservation cf 3514 environmental safety cf 35142 integrated pest management program shall include specific strategy designed help district reduce waste generation improve efficiency using natural resource area operation superintendent designee may collaborate city county state agency developing implementing district integrated waste management program cf 1400 relation governmental agency school cf 7131 relation local agency superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreducing incentive superintendent designee shall provide appropriate training opportunity student staff regarding benefit method conserving natural resource protecting environment cf 4131 staff development cf 4231 staff development cf 4331 staff development cf 61425 environmental education cf 614293 science instruction,,
8,1612910000000,Alameda,San Leandro Unified,Suburban,Unified School District,8741,79,1,2014,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=SqIGSv4w4X1oEEILHTpluseqQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,1.0,2014,2022,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030423&revid=SqIGSv4w4X1oEEILHTpluseqQ==&ptid=amIgTZiB9plushNjl6WXhfiOQ==&secid=&PG=6&IRP=0&isPndg=false,3.0,1,1,1,1.0,1.0,1,0.0,0.0,0,1,0,1,2.0,7.0,3,11.0,1.0,3.0,1.5,13.5,San_Leandro_Unified_BP3511_1.pdf,policy 35111 integrated waste management status adopted original adopted date 06242014 last revised date 04122022 last reviewed date 04122022 governing board belief conservation water energy natural resource protection environment implementation effective waste diversion program connected district educational mission essential health wellbeing community superintendent designee shall develop implement costeffective integrated waste management program incorporates principle green school operation district integrated waste management program shall include strategy designed promote waste management practice source reduction recycling composting help district reduce recycle solid organic waste properly dispose potentially hazardous material improve efficiency use natural resource minimize impact use environment program shall address area district operation including limited procurement resource utilization facility management practice superintendent designee may collaborate city county state agency public private agency developing implementing district integrated waste management program superintendent designee shall make every effort identify funding opportunity district integrated waste management program including applying available grant costreduction incentive superintendent designee may provide appropriate educational training opportunity student staff regarding benefit method conserving natural resource manner integrated waste management strategy impact effort superintendent designee shall regularly monitor aspect district integrated waste management program shall provide update board effectiveness necessary board policy manual san leandro unified school district,,
9,1613090000000,Alameda,San Lorenzo Unified,Suburban,Unified School District,9235,82,0,,,,1.0,2008,2008,https://4.files.edl.io/d890/06/29/18/020938-8ddc6ea6-63aa-4ba7-bd68-ee5fc321487c.pdf,3.0,1,1,1,1.0,1.0,1,0.0,0.0,1,1,1,1,2.0,6.5,0,6.5,0.0,3.0,1.5,9.5,,nan,,
